Albert Einstein	Wàll:Jëmm;
Ndakaaru	Wàll:Dëkki Senegaal;Wàll:Péy;
ANAFA	Wàll:mbootaay yu Senegal;
End	Wàll:Réew;Wàll:Asi;Wàll:End;
Royuwaay:Diiney kirist	:Wàll:Nit ñi ci Kàddug Yàlla|Nit ñi ci Kàddug Yàlla;Wàll:Royuwaay diine;
Senegaal	Wàll:Afrig;Wàll:Réew;Wàll:Senegaal| ;
Limu réewi àdduna bi	Wàll:Melosuuf;Wàll:Réew|*Réewi;
Faraas	Wàll:Faraas| ;Wàll:Tugal;Wàll:Réew;
Gànnaar	Wàll:Réew;Wàll:Afrig;Wàll:Gànnaar;
Bene	Wàll:Réew;Wàll:Afrig;Wàll:Bene| ;
Gàmbi	Wàll:Réew;Wàll:Afrig;Wàll:Gàmbi;
Mali	Wàll:Réew;Wàll:Afrig;
Gine	Wàll:Réew;Wàll:Afrig;
Belsik	Wàll:Réew;Wàll:Tugal;Wàll:Beljik;
Burkinaa Faaso	Wàll:Afrig;Wàll:Réew;Wàll:Burkinaa Faaso;
Kamerun	Wàll:Kamerun;Wàll:Afrig;Wàll:Réew;
Danmaark	Wàll:Réew;Wàll:Tugal;Wàll:Danmaark;
Marok	Wàll:Réew;Wàll:Afrig;
Kap Weert	Wàll:Réew;Wàll:Afrig;Wàll:Kap Weer;
Afganistaan	Wàll:Réew;Wàll:Asi;Wàll:Afganistaan;
Albaani	Wàll:Réew;Wàll:Tugal;Wàll:Albaani;
Alseeri	Wàll:Réew;Wàll:Afrig;Wàll:Alseeri| ;
Andoor	Wàll:Réew;Wàll:Tugal;Wàll:Andoor;
Angolaa	Wàll:Réew;Wàll:Afrig;Wàll:Angolaa| ;
Arsantin	Wàll:Réew;Wàll:Aamerig;Wàll:Arsantin| ;
Armeeni	Wàll:Réew;Wàll:Tugal;Wàll:Asi;Wàll:Armeeni;
Otris	Wàll:Réew;Wàll:Tugal;Wàll:Ótiris| ;
Aserbayjaan	Wàll:Aserbayjaan| ;Wàll:Réew;Wàll:Tugal;Wàll:Asi;
Bahamas	Wàll:Aamerig;Wàll:Réew;
Bahrayni	Wàll:Réew;Wàll:Asi;Wàll:Bahrayni| ;
Barbados	Wàll:Aamerig;Wàll:Réew;
Belaarus	Wàll:Réew;Wàll:Tugal;Wàll:Belaarus|*;
Butaan	Wàll:Réew;Wàll:Asi;
Boliibi	Wàll:Réew;Wàll:Aamerig;Wàll:Boliibi| ;
Bosni	Wàll:Réew;Wàll:Tugal;Wàll:Bosni;
Botswana	Wàll:Réew;Wàll:Afrig;Wàll:Botswana| ;
Dunu Aland	Wàll:Réew;
Angila	Wàll:Réew;Wàll:Angila;
Aruba	Wàll:Réew;Wàll:Olaand;
Óstraali	Wàll:Diwaani oseyaani;Wàll:Réew;Wàll:Óstraali;
Breesil	Wàll:Réew;Wàll:Aamerig;Wàll:Breesil|*;
Bulgaari	Wàll:Réew;Wàll:Tugal;Wàll:Bulgaari|*;
Buruundi	Wàll:Réew;Wàll:Afrig;Wàll:Buruundi;
Kamboodi	Wàll:Réew;Wàll:Asi;
Banglaades	Wàll:Asi;Wàll:Réew;Wàll:Banglaades;
Beliis	Wàll:Aamerig;Wàll:Réew;
Bermuda	Wàll:Aamerig;Wàll:Nguur-Yu-Bennoo;
Kanadaa	Wàll:Kanadaa| ;Wàll:Réew;Wàll:Aamerig;
Cadd	Wàll:Réew;Wàll:Afrig;Wàll:Cadd;
Sili	Wàll:Aamerig;Wàll:Ciili| ;
Réewum Popileer bu Siin	Wàll:Réew;Wàll:Asi;Wàll:Siin;
Koloombi	Wàll:Réew;Wàll:Aamerig;Wàll:Koloombi;
Komoor	Wàll:Réew;Wàll:Afrig;Wàll:Komoor;
Kosta Riika	Wàll:Aamerig;Wàll:Réew;
Kodiwaar	Wàll:Réew;Wàll:Afrig;
Korwaasi	Wàll:Réew;Wàll:Tugal;Wàll:Korwaasi| ;
Kubaa	Wàll:Aamerig;Wàll:Réew;Wàll:Kubaa| ;
Ciipër	Wàll:Réew;Wàll:Tugal;Wàll:Dun;Wàll:Ciipër| ;
Finlaand	Wàll:Réew;Wàll:Tugal;Wàll:Finlaand;
Almaañ	Wàll:Almaañ| ;Wàll:Tugal;Wàll:Réew;
Jeoorji	Wàll:Jeoorji| ;Wàll:Réew;Wàll:Tugal;Wàll:Asi;
Gana	Wàll:Réew;Wàll:Afrig;Wàll:Gana;
Jibraltaar	Wàll:Nguur-Yu-Bennoo;Wàll:Tugal;
Girees	Wàll:Réew;Wàll:Tugal;Wàll:Girees| ;
Groenlaand	Wàll:Dun;Wàll:Danmaark;
Estooni	Wàll:Réew;Wàll:Tugal;Wàll:Estooni;
Salbadoor	Wàll:Réew;Wàll:Aamerig;Wàll:Salbadoor| ;
Ecoopi	Wàll:Réew;Wàll:Afrig;Wàll:Ecoopi;
Antigua ak Barbuda	Wàll:Réew;Wàll:Aamerig;Wàll:Antigua ak Barbuda;
Dunu Buwet	Wàll:Dun;Wàll:Noorwees;
Jibuti	Wàll:Réew;Wàll:Afrig;Wàll:Jibuti;
Dominika	Wàll:Réew;Wàll:Aamerig;
Ekwadoor	Wàll:Aamerig;Wàll:Réew;Wàll:Ekwadoor;
Isipt	Wàll:Afrig;Wàll:Asi;Wàll:Réew;Wàll:Isipt;
Gineg yamoo	Wàll:Réew;Wàll:Afrig;
Fiiji	Wàll:Oseyaani;Wàll:Réew;
Gaboŋ	Wàll:Réew;Wàll:Afrig;Wàll:Gaboŋ;
